Hour_of_day,num_of_members,num_of_casual,Num_of_users
0,27365,29040,56405
1,15961,18631,34592
2,9053,10984,20037
3,5819,5753,11572
4,6803,4360,11163
5,28780,9298,38078
6,90387,24982,115369
7,168271,43517,211788
8,210830,59388,270218
9,139825,59179,199004
10,125053,74141,199194
11,147384,94106,241490
12,166880,111144,278024
13,165594,115001,280595
14,167027,119137,286164
15,206168,132126,338294
16,280400,152869,433269
17,331313,168442,499755
18,260008,143629,403637
19,180854,104014,284868
20,123863,74171,198034
21,94527,61092,155619
22,69303,54080,123383
23,44101,39522,83623
